Name of CIS,Location,Source of Water,Scheme of Irrigation,Service Area (Has.),Firmed-Up Service Area (Has.),Operational Area (Has.),No. of Farmer Beneficiaries,Name of IA,Main Canal(s),Lateral(s) & Sub-Lateral(s)
TAYTAY CIS,,Spring,Gravity,42.0,42.0,35.0,42,Taytay Farmers Small Water  Irrigation System,1640.0,284.0
SITIO BIGA CIS,,Am-aw River,Gravity,24.0,8.0,8.0,16," Sitio Biga Irrigators' Association, Inc.",1484.0,
NAGCALBANG PCIS,,Ground water,Pump,19.0,19.0,19.0,16,"Brgy. Nagcalbang-Labangan Farmers and Irrigators'Association, Inc.",890.0,
LAGUAN CIS,,Maiit River,Gravity,8.0,8.0,8.0,20,"Brgy. Laguan Farmers Irrigators' Association, Inc.",1927.0,
TALAGA CIS,,Mayton River,Gravity,12.0,12.0,8.0,15,"Brgy. Talaga, Rizal, Laguna Irrigators' Association, Inc",1631.0,306.0
TALA CIS,,Mayton River,Gravity,37.0,24.0,24.0,27," Tala Ibayiw Irrigators' Association, Inc.",2224.0,
MAYTON,,Mayton River,Gravity,18.0,18.0,18.0,14,"Tala Mayton Kalansayan Irrigators' Association, Inc.",1949.0,198.0
BALANGA CIS,,Balanga River,Gravity,37.0,37.0,37.0,29," Sapa-San Antonio II Rice Farmers Irrigators' Association, Inc.",1814.0,753.0
BAÑADERO CIS,,Bañadero River ,Gravity,129.0,129.0,129.0,70,"Nagkakaisang Magsasaka ng Bañadero Irrigators' Association, Inc.",5849.0,3049.0
STO. ANGEL CIS,,Sto. Angel River ,Gravity,72.0,72.0,72.0,34,"Sto. Angel-San Lorenzo of San Pablo, Laguna Irrigators' Association, Inc.",2468.0,3141.0
STA. VERONICA CIS,,Spring,Gravity,32.0,21.0,13.0,8," Samahan ng mga Magsasaka ng Brgy. Sta. Veronica, San Pablo City, Inc.",703.0,30.0
STA. ISABEL CIS,,Spring,Gravity,30.0,30.0,10.0,16," Brgy.Sta.Isabel Farmers Irrigators' Association, Inc.",1342.0,
SAN BENITO CIS,,Santol Creek ,Gravity,138.0,137.0,137.0,72," San Benito Irrigators' Association, Inc.",621.0,7819.0
SAN ROQUE PCIS,,Ground water,Pump,90.0,90.0,51.0,33, San Roque Multi Purpose Cooperative,,
CAVINTI CIS,,Bombongon River ,Gravity,40.0,40.0,40.0,61,"Cavinti-Bumbungan Irrigators' Association, Inc.",6858.0,1180.0
SUMUCAB CIS,,Bombongon River,Gravity,28.0,20.0,20.0,35,"Sumucab Irrigators' Association, Inc.",1180.0,
LILIAN CIS,,Inawasan River,Gravity,31.0,27.0,27.0,41," Brgy. Bulihan Lilian Farmers Association, Inc.",1640.0,937.0
SALANG DE CASTRO CIS,,Inawasan River,Gravity,87.0,87.0,87.0,18,"De Castro (Famy) SWISA Irrigators' Association, Inc.",3255.0,1589.0
LONGOS CIS,,Spring,Gravity,47.0,47.0,14.0,24,"Samahang Magbubukid ng Brgy. Longos, Inc.",862.0,1140.0
SAN ANTONIO CIS,,Spring,Gravity,107.0,107.0,107.0,64,"Sama-Samang Magsasaka ng San Antonio Irrigators' Association, Inc.",8775.0,4337.0
KALAYAAN CIS,,San Juan River,Gravity,71.0,71.0,44.0,55,"Samahan ng mga Magsasaka ng Brgy. San Juan, Kalayaan, Laguna, Inc.",1654.0,605.0
ILOG KAWAYAN,,Ilog Kawayan River,Gravity,43.0,43.0,43.0,37,"Ilog Kawayan Irrigators' Association, Inc.",2182.0,1410.0
BINAMBANG PCIS,,Ground water,Pump,48.0,48.0,48.0,43,"Brgy. Wawa Binambang Irrigators' Association, Inc.",,1001.0
CONCEPCION CIS,,Ground water,Pump,165.0,165.0,39.0,40,"Sitio Unggot-Concepcion Irrigators' Association, Inc.",,
WAWA IBAYO PCIS,,Ground water,Pump,225.0,114.0,44.0,38,"Bagong Samahan ng Wawa Ibayo, Inc.",,
PAAGAHAN CIS,,"Agua Vida; Villa Zenaida, Paagahan River ",Gravity,171.0,171.0,171.0,87,"Paagahan Farmers Irrigators' Association, Inc.",3521.0,181.0
MATALA-TALA CIS,,Galas River,Gravity,51.0,51.0,51.0,47,"MABICA Irrigators' Association, Inc.",2905.0,450.0
MARAVILLA CIS,,Maimpez River ,Gravity,40.0,40.0,40.0,30,"Maravilla-Alipit-Malinao Irrigators' Association, Inc.",4997.0,
MAIMPEZ CIS,, Maimpez River ,Gravity,159.0,159.0,159.0,85,"Nagkakaisang Magsasaka ng Magdalena, Laguna, Inc.",6000.0,6719.0
BAYUCAIN CIS,,Maimpez River,Gravity,16.0,16.0,10.0,16,"Ilayang Bayucain Farmers Alliance Association, Inc.",1594.0,
BUKAL CIS,,Olla River,Gravity,13.0,13.0,13.0,12,"Brgy. Bukal Majayjay, Laguna Farmers Irrigators' Association, Inc.",,
GAGALOT CIS,,Dalitiwan River,Gravity,25.0,25.0,25.0,18,"Gagalot-Piit Rice Farmers Irrigators' Association, Inc.",2426.0,1885.0
SAN ROQUE CIS,,Maimpez River ,Gravity,35.0,35.0,21.0,28,"Samahang Magpapalay ng San Roque, Inc.",2248.0,
STA CATALINA CIS,,Olla River,Gravity,35.0,35.0,21.0,28,"Samahang Magpapalay ng San Roque, Inc.",2248.0,
AMONOY CIS,,Spring,Gravity,52.0,52.0,52.0,60,"Brgy. Amonoy Rice Farmers and Irrigators' Association, Inc.",851.0,
MALINAO CIS,,,Gravity,9.0,9.0,9.0,23,"Malinao Rice Farmers and Irrigators' Associartion, Inc.",1075.0,
PANGLAN CIS,,Spring,Gravity,51.0,38.0,38.0,18,"Granada Irrigators' Association, Inc.",2737.0,1267.0
PANGIL-CORALAO-TALORTOR CIS,,Spring,Gravity,19.0,19.0,19.0,20,"Pangil-Coralao-Talortor Irrigators' Association, Inc.",3890.0,
PAETE CIS,,Spring,Gravity,103.0,103.0,80.0,68,"Paete Sagip-Sigla Farmers Association, Inc.",4443.0,4350.0
TIKDAO CIS,,"Spring, Gumihan River ",Gravity,20.0,20.0,10.0,10,"Samahang Magbubukid ng Ticdao-Paete, Inc.",698.0,
BANILAN CIS,,Spring,Gravity,32.0,32.0,22.0,20,"Brgy. Matikiw-Casinsin, Pakil, Laguna Irrigators’ Association, Inc.",1828.0,
MATIKIW-1 CIS,,Matikiw River,Gravity,32.0,32.0,22.0,20,"Brgy. Matikiw-Casinsin, Pakil, Laguna Irrigators’ Association, Inc.",2168.0,40.0
MATIKIW-2 CIS,,Spring,Gravity,10.0,10.0,10.0,14,"Samahan ng mga Magsasaka ng Brgy. Matikiw, Pakil, Laguna, Inc.",2042.0,
CASA REAL CIS,,,Gravity,24.0,24.0,24.0,16,"Samahang Magsasaka ng Taal Irrigation Association, Inc.",2576.0,
KABULUAN CIS,,Spring,Gravity,20.0,20.0,20.0,20,"Samahan ng mga Irrigators ng Kabulusan (Pakil, Laguna) Inc.",430.0,
BALIAN-TAVERA CIS,,Balian-Tavera Creek,Gravity,100.0,100.0,100.0,90,"Balian-Tavera Irrigators' Association, Inc.",1301.0,
BOLLERO-BALIAN CIS,,Pangil River ,Gravity,84.0,84.0,84.0,119,"Samahan ng mga Magpapatubig ng Brgy. Balian at Isla, Pangil, Laguna, Inc.",2633.0,4024.0
SULIB CIS,,"Sitio Buhangin, Pump",Gravity,156.0,156.0,156.0,68,"Kapisanan ng mga Magpapatubig ng Brgy. Sulib, Pangil, Laguna, Inc.",3115.0,
SAN JOSE CIS,,Pangil River,Gravity,53.0,53.0,50.0,65,"Daan Tubig ng Brgy.San Jose, Pangil, Laguna, Inc.",2372.0,
CALANGAY CIS,,Spring,Gravity,14.0,14.0,14.0,9,Calangay ARBS Multi-Purpose Cooperative,1834.0,
LSPU SIS,,River,Gravity,49.0,49.0,49.0,24,"Samahang Magsasaka ng LSPU Irrigators' Association, Inc.",901.0,484.0
ROMELO-PINAIT CIS, ,Romelo-Pinait River,Gravity,241.0,214.0,214.0,170,"Romelo-Pinait Irrigators' Association, Inc.",4085.0,947.0
WAWA PCIS,,Romelo-Pinait River,Gravity,33.0,33.0,33.0,34,NIA Wawa East Farmers Association Inc.,938.0,506.0
MAKATAD CIS,,Romelo Pinaet River,Gravity,54.0,54.0,35.0,22,"Macatar Binatlagan CIS Irrigators' Association, Inc.",671.0,
MAPAGONG CIS,, Mayor River ,Gravity,43.0,43.0,43.0,58,"Mapagong Km 2-3 CIS Irrigators' Association, Inc.",1533.0,
LAMAO-LATI CIS,,0,Gravity,35.0,35.0,35.0,58,"Lamao-Lati Irrigators' Association, Inc. ",2110.0,
LAMBAC PCIS,,Ground water,Pump,34.0,34.0,18.0,16,"Aktibong Magsasaka ng Lambac, Anibong at  Pinagsanjan (AMLAP)",,
